name,address,city,province,postalcode,latitude,longitude,days_since_last_visit,ensemble_pred_prob,times_noncomplient
D.I.C. CANADIAN INDUSTRIAL INVESTMENTS LTD.,455 avenue Chester,Mont-Royal,QC,H3R1W7,45.510143,-73.645238,225,0.039030406,3
ARIBEC LTEE,C.P.23,"AMOS, ABITIBI",QC,J9T3A5,48.556258,-78.088816,152,0.999082234,3
THE ASSOCIATION OF APPLIED GEOCHEMISTS,56 HORNER DRIVE,OTTAWA,ON,K2H5E9,45.345591,-75.823907,78,0.095783226,4
ENTREPRISES RENE BERGERON INC.,1215  RUE SUZANNE,MASCOUCHE CTE L'ASSOMPTIO,QC,J7L2T1,45.73451,-73.677406,337,0.89377881,2
FRANK BEBEK IMPORTS LTD.,347  RUE DES PRES,LAVAL-DES-RAPIDES,QC,H7N1C6,45.561747,-73.71754,118,0.095862985,2
LES LIVRES JONATHAN/DANIEL LTEE,"3349  B SOURCES BLVD.,",DOLLARD-DES-ORMEAUX,QC,H9B1Z8,45.484063,-73.796862,182,0.917930062,5
DATEC INFORMATIQUE INC.,155  17E AVENUE,LACHINE,QC,H8S3N7,45.433853,-73.679712,230,0.220965697,5
ECANCO SALE MANUFACTURING AND DESIGN LIMITED,69  REGAL RAOD,GUELPH,ON,N1K1B6,43.548543,-80.300128,220,0.438622747,2
LES AGENCES HALLIN LTEE,"1010 DE LA GAUCHETIERE WEST, SUITE 900",QUEBEC,QC,H3B2P8,45.498115,-73.56724,113,0.076452793,1
LES PLACEMENTS ANTIQUE INC.,C.O.879,EAST ANGUS,QC,J0B1R0,45.487355,-71.656393,219,0.984700309,4
81020 CANADA LTD.,1  PLACE VILLE MARIE,MONTREAL,QC,H3B4B2,45.503121,-73.567858,180,0.399694311,4
BIRRI REALTIES LTD.,10555  IBERVILLE,MONTREAL,QC,H2B2V2,45.57751,-73.651758,295,0.669361137,5
LANTRY SPORTSWEAR (CANADA) LTD.,365  BANNATYNE AVENUE,WINNIPEG,MB,R3A0E5,49.899999,-97.145356,80,0.91397436,2
B.S.B. HOLDINGS LTD.,1010  SHERBROOKE ST. WEST,MONTREAL,QC,H3A2R7,45.502474,-73.575945,272,0.897393298,1
CANADIAN LEAGUE AGAINST EPILEPSY,20 CROWN STREET DRIVE,MARKHAM,ON,L2R9X9,43.195181,-79.224454,20,0.442060997,3
F.E.C. CORP. INC.,P.O.BOX 878,DAVIDSON,SK,S0G1A0,51.263017,-105.987483,295,0.756545245,3
EDWARD FRIEDMAN AND ASSOCIATES LTD.,132  LISA CRESCENT,THORNHILL,ON,L4J2N3,43.800548,-79.443356,111,0.54336308,2
GESTION GIOVANNI (CANADA) LTEE,6971 Cote de Liesse,MONTREAL,QC,H4T1Z3,45.483331,-73.699064,256,0.936124238,5
GLOBAL REMOTE SENSING INC.,8623-149 STREET,EDMONTON,AB,T5R1B3,53.51821,-113.577357,340,0.379248869,1
LES ALIMENTS HELLAS INC.,1900  RUE MOREAU,MONTREAL,QC,H1W2L9,45.539628,-73.54826,257,0.423740938,4
I.T.C. THERMAL INSULATION INC.,8490  LAFRENAIE,CITE DE ST-LEONARD,QC,H1P2B3,45.598864,-73.586854,178,0.547741296,2
BOUSCO INC.,422  BOUL. STE-DOROTHEE,LAVAL,QC,H7X1H4,45.529738,-73.808976,355,0.737043831,3
REALTY REBEL (OTTAWA) INC.,1554 Carling Avenue,Ottawa,ON,K1Z7M4,45.381289,-75.74514,136,0.773301223,2
AL KANGAS CONSTRUCTION INC.,2324  LONG LAKE ROAD,SUDBURY,QC,P3E5H4,46.439583,-81.00575,59,0.984614792,5
KERR PHARMACEUTICALS LTD.,20570  56TH AVENUE,LANGLEY,BC,V3A3Z1,49.104983,-122.649973,274,0.951240292,3
TAIHAN ELECTRIC COMPANY LIMITED,28  WINSDALE ROAD,ETOBICOKE,ON,M9C2W9,43.636841,-79.5784,292,0.43480495,3
CITATION CANDLE LTD.,34  MTEE DU MOULIN,LAVAL,QC,H7N3Y3,45.675395,-73.58159,46,0.817219649,5
SERVICES IMMOBILIERS COUNTRYWIDE G.R. LAUZON INC.,139  BOULEVARD DE L'HOPITAL,GATINEAU,QC,J8T8A3,45.482104,-75.687861,3,0.80624355,2
TAXIS BEAULAC INC.,11268  HEBERT,MONTREAL,QC,H1H3X4,45.594365,-73.638866,312,0.83681466,1
EPICERIE PAUL CHALIFOUX INC.,4820  RUE SHERBROOKE OUEST,WESTMOUNT,QC,H3Z1G8,45.479471,-73.602912,241,0.579873223,3
CONFEDERATION OF CHURCH AND BUSINESS PEOPLE,COMMERCE COURT WEST,TORONTO,ON,M5L1E7,43.650167,-79.376127,303,0.547364484,2
CONSORTIUM FINANCIAL SERVICES CORP.,67  YONGE STREET,TORONTO,ON,M5E1J8,43.648823,-79.37748,12,0.814928164,2
ALIGNEMENT REJEAN DECHAMPLAIN INC.,1523  RUE LAPOINTE,VAL D'OR,QC,J9P4V5,48.095987,-77.807914,195,0.52679669,1
DUBOPLAC LTEE,5820 BOUL BOURQUE,ROCK FOREST,QC,J1N1H3,45.357924,-72.012461,339,0.001806918,2
CATHMARK MARKETING INC.,2241  CHANCERY LANE,OAKVILLE,ON,L6J5Z1,43.473893,-79.634732,237,0.605687748,5
81005 CANADA LTEE,1455 SHERBROOKE STREET WEST,MONTREAL,QC,H3G1L2,45.497996,-73.58033,234,0.785649583,4
81006 CANADA LTEE,1455 SHERBROOKE STREET WEST,MONTREAL,QC,H3G1L2,45.497996,-73.58033,228,0.032780279,4
81007 CANADA LTEE,1455 SHERBROOKE ST. WEST,MONTREAL,QC,H3G1L2,45.497996,-73.58033,362,0.322168945,3
81008 CANADA LTEE,"240 FOURTH AVENUE, S.W.",CALGARY,AB,T2P4H4,51.047694,-114.067145,39,0.434242948,5
81033 CANADA LTEE,1  PLACE VILLE MARIE,MONTREAL,QC,H3B2A5,45.503071,-73.567858,169,0.303232592,5
81034 CANAD LTD.,1  PLACE VILLE MARIE,MONTREAL,QC,H3B2A5,45.503071,-73.567858,193,0.078839267,5
81038 CANADA LTD.,7000 PARC AVENUE,MONTREAL,QC,H3N1X1,45.529677,-73.619733,317,0.55225109,3
PAPIER REBUT M.G. INC.,"228  RUE HERIOT, PLACE DU PARC",DRUMMONDVILLE,QC,J2C1K1,45.884608,-72.487909,11,0.046086696,5
IMMEUBLES G.A.G. LTEE,354  RUE STANLEY,ROXTON POND,QC,J0E1Z0,45.469097,-72.657092,150,0.515429539,5
EL CID IMPORTING AND EXPORTING COMPANY LIMITED,812  WILSON AVENUE,DOWNSVIEW,ON,M3K1E5,43.730881,-79.467117,189,0.694123143,5
LES PRODUITS SPORTIFS GRAND-MAITRE INC.,1155  SHERBROOKE ST. WEST,MONTREAL,QC,H3A2N3,45.50112,-73.577281,255,0.990247674,4
LES DISQUES IGLOO LIMITEE,6373 CADILLAC,"MONTREAL, QUEBEC",QC,H1M3K6,45.582096,-73.561874,365,0.966403071,3
LES ENTREPRISES MARCEL NEPVEU INC.,190  RUE DE BELLEFEUILLE,ST-EUSTACHE,QC,J7P2K3,45.563668,-73.893947,285,0.682556373,3
LES HABITATIONS DANMARC INC.,1798  RUE LAUTREC,VILLE DE LAVAL,QC,H7M2C7,45.601471,-73.718982,214,0.706653609,1
PATISSERIE MANDAS LIMITEE,5625  CHRISTOPHE-COLOMB AVENUE,MONTREAL,QC,H2S2E8,45.534815,-73.594267,24,0.291751279,4
BICYBEC LIMITED,45 HAZELTON AVENUE,TORONTO,ON,M5R2E3,43.673187,-79.393745,364,0.937131348,4
POLYNET INC.,50  PLACE CREMAZIE,MONTREAL,QC,H2P2R4,45.540252,-73.642126,356,0.386244016,5
TARDIF & FRERES INC.,62  BOULEVARD CARTIER,RIVIERE-DU-LOUP,QC,G5R3Y4,47.824145,-69.530137,41,0.170832367,3
GESTION BI-TREM INC.,2  MARIE-VICTORIN,BOUCHERVILLE,QC,J4B1V5,45.592727,-73.460464,136,0.014547805,5
PENTEFOUNTAS INVESTMENTS INC.,169  PLACE CHAYER,BOISBRIAND,QC,J7G2J6,45.615426,-73.827926,313,0.511494991,3
LES CONTROLES WIATT LTEE,390  BAY STREET,TORONTO,ON,M5H2Y2,43.65144,-79.382051,45,0.074896591,3
ASSOCIATION DES EXPOSANTS DE LA MODE ATLANTIQUE INC.,8235  MOUNTAIN SIGHTS,MONTREAL,QC,H4P2B4,45.500184,-73.657637,286,0.376462596,1
PIERRE CHARRIER HOLDING COMPANY LTD.,1301  DE MAISONNEUVE BLVD. EAST,MONTREAL,QC,H2L2A4,45.51997,-73.556845,22,0.377706543,3
HYCO STORE FIXTURES LTD.,1303  GREENE AVENUE,MONTREAL,QC,H3Z2A7,45.487233,-73.589785,115,0.067457826,5
LES ENTREPRISES BEN GERSOVITZ LTEE,3982 Chemin de la Cote des Neiges,Montreal,QC,H3H1W2,45.495353,-73.602526,203,0.264185701,5
DONMACAR LTEE,200 LANSDOWNE AVENUE,WESTMOUNT,QC,H3Z3E1,45.480915,-73.601243,217,0.64020824,2
MENNONITE INDUSTRY & BUSINESS ASSOCIATION,R.R. 1,CAMBRIDGE,ON,N1R5S2,43.346933,-80.24545,54,0.64997979,3
CONSTRUCTION LUCIEN POIRIER LIMITEE,4851  MELOCHE,PIERREFONDS,QC,H9J1Y9,45.463761,-73.878855,280,0.985153032,1
MODES SECONDE GENERATION INC.,333  CHABANEL ST. WEST,MONTREAL,QC,H2N2E7,45.540117,-73.653906,15,0.62462573,2
COLONY MANOR APARTMENTS LTD.,467 VICTORIA AVENUE,WESTMOUNT,QC,H3Y2R3,45.480426,-73.606108,82,0.604948544,5
LE STYLO NOIR INC.,1595  VAN HORNE,OUTREMONT,QC,H2V1L6,45.518205,-73.617324,359,0.410100997,3
LORNIAN MARKETING LTÉE,1601 - 5350 MacDonald Avenue,Montreal,QC,H3X3V2,45.48352,-73.638919,185,0.792884901,4
MULTIDISC INC.,9375  MEAUX STREET,ST-LEONARD,QC,H1R3H3,45.585017,-73.62362,230,0.784807818,1
CORPORATION PLACEMENTS JANIN,1745  CEDAR AVENUE,MONTREAL,QC,H3G1A7,45.500078,-73.586003,92,0.842374121,4
JAYKAY MANAGEMENT CORPORATION LTD.,9320  BOUL. ST. LAURENT,MONTREAL,QC,H2N1N7,45.544492,-73.651202,344,0.530881787,5
11349171 CANADA INC.,8500 Torbram Road,Brampton,ON,L6T5C6,43.723512,-79.693148,26,0.032703814,4
SOCIETE DE PLACEMENTS ALMA INC.,87 Holton avenue,Montreal,QC,H3Y2G1,45.489822,-73.593891,231,0.784646838,4
LES VENTES HERMAN SILVER ET ASSOCIES LTEE,983  D'ALENCON,CHOMEDEY,QC,H7W3W3,45.538167,-73.763484,53,0.173947292,3
I N H A INVESTMENTS LTD.,1303  GREENE AVE.,MONTREAL,QC,H3Z2A7,45.487233,-73.589785,148,0.116448367,4
SOCIETE DE PLACEMENTS N I C A INC.,623-4300 boul. De Maisonneuve Ouest,Westmount,QC,H3Z3C7,45.485412,-73.591244,351,0.923185676,5
STEFRICK INC.,3577 ATWATER AVENUE,MONTREAL,QC,H3H2R2,45.493711,-73.588602,103,0.800743193,1
CORPORATION KATIMAVIK-OPCAN,429 VIGER AVENUE EAST,MONTREAL,QC,H2L2N9,45.51219,-73.555609,126,0.774421183,3
EDA INSTRUMENTS INC.,856  51ST STREET,SASKATOON,SK,S7K5C7,52.17295,-106.648255,13,0.909010487,2
81276 CANADA LTD.,4614  THIMENS BLVD.,ST LAURENT,QC,H4R2B2,45.496298,-73.726422,46,0.726804447,5
SARABEC ENTERPRISES INC.,1220  RUE DU LAC-DE-MAI,FABREVILLE,QC,H7P3M2,45.586387,-73.820756,322,0.728336795,3
LE CENTRE DU PIN LIMITÉE,225 RUE JOSEPH-TISON,MONTREAL,QC,H2V4S5,45.530144,-73.617327,282,0.668059649,3
CYCLONE TRANSPORT LTD.,200  RUE ST-JACQUES,MONTREAL,QC,H2Y1M1,45.496197,-73.565369,354,0.215543535,2
LES INVESTISSEMENTS RENE ST-PIERRE LTEE,2365  BOUL. QUEEN NORD,SHERBROOKE,QC,J1H5H1,45.443071,-71.928358,303,0.952749021,3
NICK & JOSEPH AND SONS CONSTRUCTION INC.,8205  CHAMP D'EAU,ST-LEONARD,QC,H1P1Y1,45.601095,-73.582514,249,0.688066253,5
RIDEAUSHIP GROUP LIMITED,34  COLONADE ROAD,NEPEAN,ON,K2E7J6,45.345014,-75.713955,192,0.224019754,3
COMPAGNIE D'ELECTRICITE SPAR LTEE,10  ST. JAMES STREET WEST,MONTREAL,QC,H2Y1L3,45.506489,-73.556366,350,0.784382063,5
PLACEMENTS CORIBEC LIMITEE,55  CHEMIN STE-FOY,QUEBEC,QC,G1R1S9,46.804868,-71.230452,247,0.310693681,1
81261 CANAD LIMITED,438  STE-HELENE,MONTREAL,QC,H2Y2K7,45.501222,-73.558028,166,0.470183219,3
D'ALJAC ENTERPRISES INC.,2168  RUE AUCLAIR,"DUVERNAY, LAVAL",QC,H7E2W1,45.607789,-73.667045,45,0.369347367,3
THE SEA URCHIN LTD.,860  CAHILL DRIVE,OTTAWA,ON,K1V9A3,45.347235,-75.665166,268,0.532901497,2
GRAVURE ATLANTIC LTEE,1435  ST ALEXANDRE STREET,MONTREAL,QC,H3A2G4,45.505403,-73.568116,248,0.330232818,3
LES PRODUCTIONS AUTONE INC.,1027  YONGE STREET,TORONTO,QC,M4W2K9,43.677399,-79.389503,28,0.255324876,3
BARLOWTEL SYSTEMS (INTERNATIONAL) LTD.,834  ALNESS AVENUE,DOWNSVIEW,ON,M3J2Y6,43.780155,-79.475571,350,0.312186713,2
LES INDUSTRIES D'APPAREIL JAMES EDMOND LTEE,3054  BIRET,ST-LAURENT,QC,H4R1G1,45.514609,-73.726767,62,0.712659579,2
ALBANE MARKETING & SALES INC.,6430  MCLYNN,MONTREAL,QC,H3X2R4,45.488228,-73.645617,76,0.73242713,1
EVANSPORT LTEE,4980  BUCHAN STREET,MONTREAL,QC,H4P1S8,45.498722,-73.649258,157,0.1806581,5
EASTBEC FOREST PRODUCTS LTD.,90  RUE DE ROTTERDAM,ST-AUGUSTIN,QC,G0A3E0,47.061523,-70.912857,165,0.995772054,5
HOWARD-SIMON (EST) LTEE,3100  BOUL. DE LA CONCORDE,"DUVERNAY, LAVAL",QC,H7E2B8,45.592587,-73.668206,271,0.641147671,3
ALEXANDER KALIL PETROLES INC.,1010  SHERBROOKE STREET WEST,MONTREAL,QC,H3A2R7,45.502474,-73.575945,147,0.340212656,4
LES ENTREPRISES DE GESTION CLAIRIER LTEE,223  RUE ST-LOUIS,GATINEAU,QC,J8T2S4,45.466579,-75.688384,347,0.570295347,4
TABU VENEERS (NORTH AMERICA) LTD.,115  CASTER AVE,WOODBRIDGE,ON,L4L5Z2,43.783609,-79.558617,264,0.351495915,3
LES ASSOCIES PERSONNEL AXIOM LTEE,1010  SHERBROOKE STREET WEST,MONTREAL,QC,H3A2R7,45.502474,-73.575945,139,0.92259412,3
BELRIVE FASHIONS (CANADA) LTD.,159  KENT STREET,CHARLOTTETOWN,PE,C1A7L1,46.236862,-63.130393,182,0.756966871,4
SAMTEX LTD.,1460  PAGE STREET,CHOMEDEY LAVAL,QC,H7W3S4,45.53886,-73.762875,93,0.654074651,1
BONAVAIR LTD.,OTTAWA INTERNATIONAL AIRPORT,OTTAWA,ON,K1G3J2,45.418675,-75.640293,175,0.802872859,1
BRILLON RADIO & T.V. LTEE,160  RUE PROVENCHER,MONT ST. HILAIRE,QC,J3H3L6,45.565099,-73.193832,301,0.20426559,1
PORTOBELLO IMPORTS INC.,1662  ONTARIO STREET EAST,MONTREAL,QC,H2L1S7,45.525445,-73.559465,254,0.913427368,2
RADIO ALL-NEWS CANADA LIMITEE,65  ADELAIDE STREET EAST,TORONTO,ON,M5C1K6,43.650898,-79.375504,175,0.40727214,1
CANADA ROC PNEUMATIC INCORPORATED,39  QUEEN STREET,ST. CATHARINES,ON,L2R6V7,43.158459,-79.249289,30,0.440752759,2
ROUGH-IT TOPS LTD./LTEE,9800  MEILLEUR STREET,MONTREAL,QC,H3L3J4,45.539581,-73.662821,211,0.25856359,4
DANTE FURNISHINGS LTD.,1050  BAXTER ROAD,OTTAWA,ON,K2C3P1,45.353821,-75.779617,181,0.920198225,1
HOLLY HILL FASHION ACCESSORIES LTD.,2  BLOOR STREET WEST,TORONTO,ON,M4W3J1,43.670481,-79.390101,38,0.220486286,3
THE JOE BRAIN FOUNDATION INC.,360 MAIN STREET,WINNIPEG,MB,R3C3Z3,49.894515,-97.138588,278,0.50206152,4
KENWAL LTD.,700  2ND STREET SOUTH WEST,CALGARY,AB,T2P2W2,51.046682,-114.067914,124,0.710274982,2
SYSTEMES DE PURIFICATION DES EAUX LEONARD LTEE,78  DES ERABLES,VILLE ST. PIERRE,QC,H8R1A9,45.447438,-73.649863,231,0.021946593,5
LES FOURS MICRO-ONDES LEON,1  WESTMOUNT SQUARE,MONTREAL,QC,H3Z2Z7,45.486609,-73.588596,206,0.820443669,1
117218 CANADA INC.,276  ST. JACQUES,MONTREAL,QC,H2Y1N3,45.502755,-73.558746,87,0.522740097,4
LES GRUES MAURICE MICHAUD INC.,CTE MATAPEDIA,STE-JEANNE D'ARC,QC,G0J2T0,48.551203,-67.842066,188,0.492513547,3
NOUVEAUTES LUXOR (CANADA) LTEE,2635  AIRD STREET,MONTREAL,QC,H1V2W8,45.558687,-73.546307,195,0.589636228,4
ALEXANDER PROUDFOOT COMPANY LIMITED,TORONTO-DOMINION CENTRE,TORONTO,ON,M5K1N6,43.650269,-79.376503,210,0.931997014,2
R.S.P. MANAGEMENT SERVICES LIMITED,20 EAST HUMBER DRIVE,KING CITY,ON,L7B1B6,43.93626,-79.52388,283,0.885127617,1
CHARLES P. ROWEN & ASSOCIES INC.,5770  HURONTARIO,MISSISSAUGA,ON,L5R3G5,43.620793,-79.674577,194,0.706767679,2
UNDERWOOD MCLELLAN (1977) LTD.,1066  WEST HASTINGS ST.,VANCOUVER,BC,V6E3X2,49.287369,-123.118888,11,0.17552108,5
ARCOSWITCH CANADA LTD.,31  UNICORN AVENUE,WILLOWDALE,ON,M2K2L3,43.792683,-79.383881,295,0.114654413,5
ALLERGO INC.,1839  RUE SAINT-LAURENT,SAINT-BRUNO-DE-MONTARVILLE,QC,J3V4Z2,45.521284,-73.337583,71,0.186446273,2
MLPI LEASE PLANS INC.,401  BAY STREET,TORONTO,ON,M5H2Z1,43.647289,-79.379211,130,0.791062214,5
ALLION CONSTRUCTION LTEE,2201  LAPINIERE,BROSSARD,QC,J4W1M2,45.473839,-73.470607,270,0.798615281,3
JEAN-NOEL BERGERON ENTREPRISES LIMITED,800  CARRE VICTORIA TOUR DE BOURSE,MONTREAL,QC,H4Z1E9,45.484943,-73.616971,200,0.948550537,5
"L.J. BOUGIE, AGENT D'ASSURANCE LIMITEE",2000 NOTRE-DAME,LAVALTRIE,QC,J5T1N5,45.898962,-73.26804,266,0.817334819,5
CEDARHURST FOREST PRODUCTS (TORONTO) LIMITED,77  FIMA CRESCENT,TORONTO,ON,M8W3R1,43.603713,-79.526849,288,0.836971892,1
CHENIL ROBCHIC KENNEL INC.,1655  CR. KENOGAMI,"DUVERNAY, LAVAL",QC,H7E3E3,45.601979,-73.672907,348,0.341067923,4
CLAUDE DUQUETTE COIFFURE INC.,7350  RUE ST-DENIS,MONTREAL,QC,H2R2E4,45.539145,-73.617303,156,0.573973665,2
G. LAPOINTE FENCE LTD.,700  RUE DE LA MINE,ACTON VALE,QC,J0H1A0,45.642814,-72.569712,200,0.766028627,1
B.C.H. FORMS LTD.,5629  RUE FERRIER,MONTREAL,QC,H4P1N1,45.491586,-73.665403,1,0.75321769,3
LE GROUPEMENT S.O.G.I.P.-P.M.E. LTEE.,500  PLACE D'ARMES,MONTREAL,QC,H2Y2W2,45.504208,-73.558208,209,0.108931057,2
SOCIETE DE GESTION GALLA LTEE,1800 MCGILL COLLEGE AVENUE,MONTREAL,QC,H3A3J6,45.502028,-73.572247,171,0.284136553,5
ISSA CONSULTANT LTEE/LTD.,135  DEGUIRE BLVD.,ST-LAURENT,QC,H4N1N8,45.531171,-73.673808,159,0.168228369,1
DÉCOR TAPIS DU NORD LTÉE,2045  BOUL. LABELLE,ST-JEROME,QC,J7Y1S5,45.795447,-74.009153,177,0.057134279,4
CONSTRUCTION N.C. INC.,283 DU RUISSEAU,NAPIERVILLE,QC,J0J1L0,45.188866,-73.408102,190,0.808161832,5
LES PLACEMENTS MANSOUR INC.,2188  METROPOLE,LONGUEUIL,QC,J4G1R5,45.570625,-73.473352,311,0.586922214,4
CIE DE RUBANS & FOURNITURES AVRIL LTEE,1449  RUE ST-ALEXANDRE,MONTREAL,QC,H3A2G6,45.505636,-73.568332,144,0.969077366,2
177187 CANADA INC.,2197  ST-CATHERINE ST. WEST,MONTREAL,QC,H3H1M9,45.490947,-73.58263,106,0.288179567,3
NUMEROX INC.,2188  DE LA METROPOLE,LONGUEUIL,QC,J4G1R5,45.570625,-73.473352,57,0.273852788,4
SUOMI INDUSTRIAL CONSULTANTS LTD.,10665  JASPER AVENUE,EDMONTON,AB,T5J3S9,53.54105,-113.504508,348,0.778763354,4
SUPER SEW CANADA LTD.,625  PRESIDENT KENNEDY AVE.,MONTREAL,QC,H3A1K2,45.504696,-73.57249,4,0.041296721,3
THERMFACT LTD./LTEE,447  BERWICK AVENUE,"MOUNT ROYAL, MONTREAL",QC,H3R1Z8,45.507096,-73.645071,1,0.024814701,3
JEAN BELAND ET ASSOCIES INC.,6914  BOULEVARD ST-JACQUES,NEUFCHATEL,QC,G2C1M2,46.829266,-71.325901,43,0.087589867,3
LA FONDATION BOURSIERE DE L'ASSOCIATION CANADIENNE D'UROLOGIE,185 DORVAL AVENUE,DORVAL,QC,H9S5J9,45.4405,-73.739999,293,0.169395678,4
BROCHU TRANSPORT INC.,C.P. 1560,SEPT-ILES,QC,G4R4X9,50.220206,-66.393329,264,0.996651151,3
PERSONNEL RIACOUT INC.,1000  RUE SERIGNY,LONGUEUIL,QC,J4K5B1,45.523271,-73.523234,222,0.749455664,2
ZOLI FASHIONS LTD. -,2015  DRUMMOND ST.,MONTREAL,QC,H4G1W7,45.461034,-73.567163,305,0.297635841,3
THE EXECUTIVE COUNCIL OF THE WORLD COUNCIL OF INDIGENOUS PEOPLES,555  KING EDWARD,OTTAWA,ON,K1N6N5,45.423106,-75.682886,327,0.925274008,2
CASTLE WINES LIMITED,120  RIDLEY ROAD,ST. CATHARINES,ON,L2R7E4,43.151653,-79.253072,224,0.0623621,5
JORDAN WINES (B.C.) LIMITED,120  RIDLEY ROAD,ST. CATHARINES,ON,L2R7E4,43.151653,-79.253072,235,0.876647148,4
STE. MICHELLE WINES LIMITED,120  RIDLEY ROAD,ST. CATHARINES,ON,L2R7E4,43.151653,-79.253072,39,0.767169784,2
STE. MICHELLE WINES OF SASKATCHEWAN LIMITED,120  RIDLEY ROAD,ST. CATHARINES,ON,L2R7E4,43.151653,-79.253072,233,0.203294365,5
ASSOCIES DE RECHERCE Abt DU CANADA LIMITEE,2300  YONGE STREET,TORONTO,ON,M4P1G2,43.707935,-79.398331,270,0.294947089,3
BOMIG CORPORATION,66  ROTHWELL DRIVE,OTTAWA,ON,K1J7G6,45.451306,-75.607011,225,0.299665393,5
KNOX TIMBER IMPREGNATION LTD.,305  BRIDGE STREET,KEMPTVILLE,ON,K0G1J0,45.011149,-75.654191,142,0.711347369,2
ASTRA MEGA INC.,2225  AVE CHARLAND,MONTREAL,QC,H1Z1B3,45.574085,-73.651981,219,0.790432493,3
CARTONNAGE BILTWELL LTEE,1630  STARTOP ROAD,OTTAWA,ON,K1G3T9,45.418675,-75.640293,140,0.721459619,2
BOURNE AIRCRAFT INTERNATIONAL INCORPORATED,407  8TH AVE S.WEST,CALGARY,AB,T2P1E6,51.044476,-114.069241,319,0.275038376,4
C.E.D.E.Q.-COMPAGNIE D'ETUDE ET DE DISTRIBUTION ECOLOGIQUE DU QUEBEC INC.,11689  CLAUDE LEGAULT,MONTREAL-NORD,QC,H1G4R2,45.60903,-73.626283,157,0.423043445,1
Société de Gestion de Capital Indago Inc.,130  ADELAIDE WEST,TORONTO,ON,M5H3P5,43.649691,-79.383812,304,0.276090709,4
81280 CANADA LIMITEE,"1980  SHERBROOKE STREET W.,",MONTREAL,QC,H3H1E8,45.493797,-73.584176,266,0.531436483,2
PERODEAU MINING INCORPORATED,200  GRANVILLE,VANCOUVER,BC,V6C1S4,49.287304,-123.114028,185,0.131927599,4
ENERTEL INC.,977 BOUL. ST-JOSEPH,ST-LEOLIN,NB,E8N2R9,47.769581,-65.175097,253,0.489025048,4
GALA MANAGEMENT INC.,205  COTE STE-CATHERINE,OUTREMONT,QC,H2V2A9,45.51609,-73.598279,339,0.894378065,2
CANMED CONSULTANTS INC.,40 KING STREET WEST,TORONTO,ON,M5H3Z7,43.649225,-79.377964,247,0.951123812,4
LES INVESTISSEMENTS MERWIN LIMITEE,1183  FINCH AVENUE WEST,TORONTO,ON,M3J2G2,43.764985,-79.483162,68,0.217994222,2
J B G ACTUARIES LTD.,90  TRIPP CRESCENT,OTTAWA,ON,K2J1C8,45.283334,-75.757693,335,0.066246366,4
JEMEON INC.,3514  MARLOWE,MONTREAL,QC,H4A3L7,45.476363,-73.609968,356,0.719052622,2
LES PLACEMENTS MALOUBER INC.,3228  MONTREUX,STE-FOY,QC,G1W4S4,46.754997,-71.304678,213,0.68480451,2
R.H. HOUSE INTERNATIONAL EQUIPMENT LTD.,198  EAGLE ROAD,LETHBRIDGE,AB,T1H4S6,49.726038,-112.80442,153,0.269526947,5
HABITS POUR L'HOMME MODERNE LTEE,180  BLOOR STREET WEST,TORONTO,ON,M5S2V6,43.668808,-79.394967,53,0.154883873,4
GESTION FURTECH INC.,1592  RUE FLEURY EST,MONTREAL,QC,H2C1S6,45.563255,-73.655942,137,0.246608808,1
PAFFRATH HOLDINGS LTD./LTEE,399 FAIRGATE WAY,OAKVILLE ONT.,QC,L6H6Y1,43.487689,-79.713573,334,0.792150228,1
FABRIQUE DE VETEMENTS MAXRAY LTEE,160  ST.VIATEUR STREET EAST,MONTREAL,QC,H2T2L3,45.523953,-73.600622,323,0.804843738,4
LES SKIS SYROVATKA LIMITEE,5528  MONKLAND AVE.,MONTREAL,QC,H4A1C7,45.476814,-73.621985,208,0.641074719,5
TABAGIE ROBERGE INC.,41  12E AVENUE EST,AMOS,QC,J9T1J8,48.567498,-78.116167,226,0.008683851,4
LES TOURNEURS SUR METAL DE VILLE EMARD LIMITEE,5790  PLACE TURCOT,MONTREAL,QC,H4C1W3,45.461989,-73.606876,32,0.089010825,1
WALSTOCK LEASING LIMITED,145  KING STREET WEST,TORONTO,ON,M5H3M1,43.650571,-79.384568,109,0.9420009,3
PLOMBERIE ROBINSON LTÉE,396 Rue Notre - Dame,GATINEAU,QC,J8P1L5,45.48131,-75.64098,41,0.622855233,4
GATINEAU-NORD AUTOMOBILES LTEE/LTD.,349  RUE MAIN,GATINEAU,QC,J8P5K5,45.490118,-75.652108,349,0.249863884,2
THE CANADIAN ST. JUDE CHILDREN'S RESEARCH FOUNDATION,POSTAL STATION WALKERVILLE,WINDSOR,ON,N8Y4R5,42.2391,-82.962751,285,0.173323466,4
ANIK INFORMATIQUE LTEE,228  RUE HERIOT PLACE DU PARC,DRUMMONDVILLE,QC,J2C1K1,45.884608,-72.487909,193,0.918769704,3
177438 Canada Inc.,319 Rustic Hills,Orléans,ON,K4A5A8,45.472531,-75.450258,25,0.598917577,3
BRETT-PAT CANADA LTEE,800  PLACE VICTORIA,MONTREAL,QC,H4Z1H6,45.485272,-73.616861,287,0.675676541,3
